putative Compound	hum_101_1 _cer	hum_102_1 _cer	hum_103_1 _cer	hum_104_1 _cer	hum_105_1 _cer	hum_106_1 _cer	hum_120_1 _cer	hum_121_1 _cer	hum_141_1 _cer	hum_153_1 _cer	hum_98_1 _cer	Wt_132_1 _cer	Wt_133_1 _cer	Wt_134_1 _cer	Wt_135_1 _cer	Wt_142_1 _cer	Wt_147_1 _cer	Wt_148_1 _cer	Wt_91_1 _cer	Wt_wt1_1 _cer
FAME C14:0	124869	140124	160495	120029	189401	223831	182489	166668	113366	140341	141826	126214	106896	122260	177964	139150	105828	135126	190779	148882
FAME C16:0	95179	106731	129876	94076	151321	180928	145272	130576	86068	110715	108677	99853	87693	91705	141227	100620	81260	113251	145296	121853
FAME C18:0	32807	37704	45902	32992	51997	58854	50047	46042	29214	36715	38707	35000	28888	32604	47311	36769	28090	37602	49317	42275
FAME C20:0	32390	35687	42276	32701	52548	61812	48418	43498	26933	36614	36509	31283	27232	30091	47564	34827	26486	35178	49534	38564
FAME C22:0	28129	30408	38529	26322	43767	48448	42006	37056	23720	29360	29832	26383	23065	24707	40057	28472	22238	29852	40389	32765
FAME C24:0	21613	23453	29057	19348	33587	38220	31582	26627	16643	21184	22609	21047	17870	19341	29491	22385	16844	23337	29461	23687
FAME C26:0	16213	18678	21854	15330	25908	29301	24970	21231	13741	17558	17714	16290	13473	15746	25584	18353	13891	17100	22239	20265
FAME C28:0	11744	12654	15609	11845	19815	21242	18413	14620	10424	13431	12468	11988	11065	12558	19174	14357	10856	13169	15878	14551
FAME C30:0	5210	5702	6689	5668	9021	9756	8474	6592	4763	6133	5513	5123	4865	6248	8733	6791	5032	5866	7382	6907
FAME C8:0	73487	66563	83058	57947	94514	104110	93530	85432	55259	64719	65550	58096	50368	64611	88781	62372	55315	58002	55789	73847
FAME C9:0	64875	67885	88006	62116	96903	111954	100747	86717	55584	67474	72057	61392	53159	57479	94229	64190	54518	63506	108684	81024
Fructose (|Psicose) (1MEOX;5TMS) [MP-1.1]	2152	2402	2034	2025	2574	2946	9770	3639	3661	2000	2954	3423	2846	2880	4440	2383	2442	2515	4194	5567
Fructose (|Sorbose) (1MEOX;5TMS) [MP-1.2]	1405	1463	1202	1332	1503	1837	5822	2124	2153	1142	1800	1995	1650	1591	2863	1415	1368	1324	2899	3410
"Fructose,_D-_(5TMS)_622992.38_PRED"	10120	8721	10373	10828	9306	11396	12025	10562	10342	10084	11061	10043	10370	12325	11413	11923	11196	9763	10557	10665
Fucose_(1MEOX)_(4TMS)_BP_528624.81_TRUE	185	407	1404	993	504	969	1695	1182	958	1274	1231	1226	943	1294	1282	1249	1794	1035	197	1020
Fucose_(1MEOX)_(4TMS)_MP_522432.03_TRUE	668	767	1907	2007	1092	1220	2154	1970	2060	2643	2248	2083	1957	2474	2426	2163	2560	2274	1040	2005
Fumarate (2TMS) [MP-1.1]	1787	2566	1955	1881	2840	3277	2307	2258	2220	2560	1713	2164	1534	2913	3511	2747	3762	3867	3329	2295
