putative Compound	hum_101_3 _hea	hum_102_3 _hea	hum_103_3 _hea	hum_104_3 _hea	hum_105_3 _hea	hum_105_3 _hea	hum_106_3 _hea	hum_120_3 _hea	hum_121_3 _hea	hum_141_3 _hea	hum_153_3 _hea	hum_98_3 _hea	Wt_132_3 _hea	Wt_133_3 _hea	Wt_134_3 _hea	Wt_135_3 _hea	Wt_142_3 _hea	Wt_147_3 _hea	Wt_148_3 _hea	Wt_152_3 _hea	Wt_91_3 _hea	Wt_wt3_3 _hea
"Heptacosanoic_acid,_n-_(1TMS)_1053682.38_PRED"	8788	6233	6544	8143	10294	1031	10699	11409	16057	8210	10681	14100	14857	8978	24493	10559	4903	6805	13140	11681	19646	6923
"Heptanoic_acid,_n-_(1TMS)_255612.95_PRED"	27061	14978	10414	20790	64780	3153	22490	50768	90002	70544	38846	6560	60928	45499	70423	25627	21158	27545	17868	39332	4036	19304
"Hexacosane,_n-_908082.69_PRED"	745	624	397	441	852	76	873	1020	707	600	1586	741	1023	772	1191	695	665	641	690	1196	1031	714
"Hexadecane,_n-_486353.06_PRED"	15890	17243	12152	16196	15540	25	21514	22453	24824	11904	20406	5052	28381	15343	28359	18564	6628	13823	15648	20327	5145	15929
Hexadecanoate (1TMS) [MP-1.1]	19648	14078	14636	16119	56305	2195	18112	40185	28927	19579	20074	27966	35480	29701	26369	15949	19223	16748	16625	22494	23874	14070
"Hexanoic_acid,_2-ethyl-_(1TMS)_254181.88_PRED"	53938	29726	20317	41191	129926	6354	45870	101488	182542	148046	78032	12764	122296	94215	142999	51806	42829	56618	36578	80850	7629	38196
Histidine (3TMS) [MP-1.1]	880	656	740	1140	420	168	1463	764	621	490	1449	559	581	368	652	645	634	1187	493	499	479	1211
Homocysteine_(2TMS)_506276.72_PRED	3127	3645	2530	2859	3825	190	4298	4151	5256	3404	5147	5692	5417	4039	6432	3796	2564	3975	4336	4720	5867	3956
Homoserine_(2TMS)_380616.94_PRED	5948	5282	15339	6488	11435	379	9552	33965	15174	14213	22240	142	24172	20265	15905	21728	17202	30393	22534	22400	NaN	18034
Homoserine_(4TMS)_510930.09_TRUE	14986	17537	13358	14521	19148	924	20988	19392	27303	16956	25612	NaN	26636	19471	32245	19670	12271	19468	22566	22705	NaN	19277
Homoserine_lactone_(2TMS)_458933.88_PRED	3200	2958	3016	3013	6406	249	4068	9308	10091	7108	5325	5556	6495	12935	4514	7265	4664	5025	3763	5786	5842	7075
Hydrocaffeic_acid_(3TMS)_667708.25_TRUE	504	341	294	250	584	104	614	889	1271	1506	457	2106	1044	1234	1330	593	620	286	541	880	3735	534
Hypotaurine_(3TMS)_509415.53_TRUE	44041	51814	38311	45636	56586	2458	64371	58641	85701	49130	75207	77539	82270	59687	97162	57204	33100	56987	64859	70128	89168	56902
Hypoxanthine_(2TMS)_659841.12_TRUE	946	1698	1054	830	2235	194	1559	1690	1903	1322	2258	1739	2140	1407	2613	1497	2331	2256	2362	2938	2380	925
"Indole-3-acetic_acid,_1H-_(1TMS)_668169.31_PRED"	1233	1100	1187	1247	2054	183	1576	2720	2327	2046	1399	2454	2875	2113	2538	1206	1372	1283	1170	1772	2116	1127
"Indole-3-butanoic_acid,_1H-_(1TMS)_755498.5_PRED"	895	854	722	829	1199	319	1109	1118	1772	913	1166	710	1656	1245	1549	1072	NaN	870	1042	1288	694	771
Inosine_(4TMS)_904803.88_TRUE	6021	5268	3391	4192	8218	601	8122	7291	7283	5530	13283	5898	9333	6849	11539	7012	6029	6466	7007	10249	9294	6516
"Inositol,_allo-_(6TMS)_550276.69_TRUE"	6555	6125	5736	6647	7317	259	8524	7885	10681	6568	6981	10950	10275	7549	10801	7003	3510	5928	5434	8428	11537	5448
Isocitric_acid_(4TMS)_597989.19_TRUE	15345	13734	14989	16011	17421	1223	17389	12965	15250	9502	18646	9270	13971	7750	17922	13201	6298	12381	11594	12097	10458	12006
Isoleucine (2TMS) [MP-1.1]	3203	1944	1985	1734	3331	920	3767	3286	4059	3025	4018	5979	3550	3635	3764	3131	2573	3274	3429	3134	6090	2641
"Kestose,_1-_(11TMS)_1034658.38_TRUE"	1286	16597	7091	3735	9948	726	4867	2549	3455	2366	1873	14291	4096	1568	4945	2587	3991	7695	8311	4701	20460	721
Leucine (2TMS) [MP-1.1]	5706	3841	4436	3350	5625	1292	7863	5510	7805	6197	6768	11204	6477	7669	7805	5630	4886	5646	6195	6041	11612	5248
"Levulinic_acid,_5-amino-_(1MEOX)_(3TMS)_BP_591715.44_TRUE"	2105	3023	2914	1800	2242	5974	1150	3168	2950	6041	1479	4765	3900	6332	2393	3332	6802	3903	4793	4300	4612	4591
Lysine (3TMS) [MP-1.1]	12444	14342	11930	13483	9142	2104	18766	17095	16194	18123	15222	24314	20973	12146	25615	15286	12748	9385	12275	15968	20659	16009
"Lyxonic_acid-1,4-lactone_(3TMS)_580326.75_TRUE"	NaN	516	480	351	640	1059	447	679	583	742	322	977	701	986	703	708	834	638	706	721	724	575
Lyxose_(1MEOX)_(4TMS)_BP_488187.75_TRUE	1944	2015	1425	1967	2003	15	2322	2723	2973	1295	2189	589	3544	1728	3416	2273	894	1827	2011	2207	579	1934
Malate (3TMS) [MP-1.1]	8367	15838	10859	12611	23082	1771	11921	21390	23583	10950	13867	19654	23463	16783	17037	17764	11667	18866	19076	20950	23787	10965
