putative Compound	hum_101_8 _tes	hum_102_8 _tes	hum_103_8 _tes	hum_104_8 _tes	hum_105_8 _tes	hum_106_8 _tes	hum_120_8 _tes	hum_121_8 _tes	hum_141_8 _tes	hum_153_8 _tes	hum_98_8 _tes	Wt_132_8 _tes	Wt_133_8 _tes	Wt_134_8 _tes	Wt_135_8 _tes	Wt_142_8 _tes	Wt_147_8 _tes	Wt_148_8 _tes	Wt_152_8 _tes	Wt_91_8 _tes	Wt_wt8_8 _tes
myo-Inositol-1-phosphate_(7TMS)_788938.62_PRED	848	478	584	646	1082	676	568	784	698	721	708	742	730	692	714	899	1039	752	904	695	762
NicotiaNaNmine_(4TMS)_902113.62_PRED	7906	3486	2581	1676	2428	1567	1362	1731	1616	3069	3281	1966	1306	2419	2072	4301	3812	2643	2424	4278	1769
NicotiNaNmide (1TMS) [MP-1.1]	3908	1464	1454	1511	1498	1115	8735	1434	1048	1548	1503	1400	1120	1662	1480	2007	1887	1534	1676	1391	1052
NicotiNaNmide (2TMS) [MP-2.1]	45	626	579	545	691	468	603	505	470	557	655	574	489	383	484	685	1013	846	922	584	458
"NicotiNaNte, 6-Hydroxy-"	118	2073	1776	1823	1396	1695	2161	1836	1597	1793	1428	2632	1867	2298	1928	2668	1729	1400	1425	1357	1487
"NoNaNcosane,_n-_992849.81_PRED"	151	1291	1260	938	679	1109	785	1122	890	1120	851	1528	969	1197	1228	1312	657	658	702	1165	638
NoNaNdecane_653263.69_PRED	7632	5009	4796	5179	4829	5396	3749	5858	5079	5605	4985	4968	5424	5103	4955	4889	5196	5803	4803	5617	5160
"NoNaNn-1-ol,_n-_(1TMS)_336924.19_PRED"	118152	55466	54943	51542	55232	47451	60014	50451	47999	51755	55418	51369	44094	50201	48802	60377	60527	51352	51321	57270	51490
NoNaNnoate ((1TMS)) [MP-1.1]	143	492	936	700	1221	NaN	622	680	1860	794	936	749	1169	438	773	899	1441	773	1640	387	NaN
Norleucine_(2TMS)_337195.69_TRUE	544771	240181	236561	222132	232139	199946	258679	213769	202658	224380	227425	220325	187644	229922	214245	263681	254752	221311	208417	249979	211016
"Octadecan-1-ol,_n-_(1TMS)_754094.19_PRED"	247	778	992	872	900	706	555	922	916	779	770	854	742	730	848	782	811	708	940	794	692
Octadecanoic_acid_(1TMS)_770496.62_PRED	27883	11716	11707	12554	12242	10787	12207	8370	13612	8563	10994	10352	9874	6648	21202	9663	12302	9874	17540	9503	18077
Ornithine (4TMS) [MP-1.1]	212	430	375	481	717	1076	1278	632	857	799	688	358	521	305	387	417	674	752	817	1147	559
"Ornithine,_N2-acetyl-_(4TMS)_649195.81_TRUE"	3333	2292	2167	2139	1943	2218	1422	2375	2165	2423	2185	2022	2425	2431	2127	2168	2353	2473	1970	2270	2236
Ornithine_(3TMS)_(Derivate_not_found)_492548.84_PRED	808	10626	9872	12909	14142	11475	404	12405	11211	11072	13025	11279	12197	11386	9705	11135	11955	14225	11328	13071	13352
"Orotic_acid,_4,5-dihydro-_(3TMS)_616339.19_TRUE"	85	1338	819	1116	1663	1346	576	1105	1501	1231	1142	1085	1062	833	768	1075	1665	1624	1854	1159	1747
Orthophosphate	1801947	748096	698901	646792	662366	553446	777692	630768	534914	694895	626123	657979	549886	787915	666918	841449	753172	665581	556349	771654	590005
Oxalic_acid_(2TMS)_236929.91_PRED	NaN	65037	44152	49167	62782	62428	32473	62924	83728	71725	49358	54483	50389	23886	36557	61162	98368	105409	71154	41758	81297
Oxaloacetate_(1MEOX)_(2TMS)_MP_473005.72_TRUE	40	741	1148	979	1130	1092	675	499	496	588	308	718	553	480	388	825	481	473	373	544	544
"Pentadecan-1-ol,_n-_(1TMS)_636157.25_PRED"	NaN	1685	1759	1989	1734	1717	3290	1599	1325	1505	1586	2207	1591	1457	1574	1861	1413	1347	1647	1490	1409
Phenethylamine_(2TMS)_490740.62_TRUE	15546	228618	214605	271590	308674	247821	3694	264314	237680	236325	276658	250054	267976	246361	210951	240017	263509	304374	245634	289708	287033
Phenylalanine (2TMS) [MP-1.1]	1682	2990	3198	3099	3055	2987	4844	3100	2879	3565	2532	3257	2999	26580	2937	3448	3249	3161	3349	2685	2983
Phenylalanine_(1TMS)_492082.22_PRED	1858	22839	21811	27479	31094	25597	533	26709	25448	23682	28785	25099	27178	24887	21506	25038	27260	30781	25460	29015	29791
Phosphoric_acid_monomethyl_ester_(2TMS)_258939.19_PRED	441	41476	18417	7133	8699	24913	10525	20778	25955	18678	14138	10647	22225	7182	22371	5888	8834	6554	33004	5176	33716
"Pimelic_acid,_2,6-diamino-_(4TMS)_654293.81_TRUE"	1963	1306	1253	1116	1129	1214	902	1310	1242	1459	1217	1266	1452	1440	1188	1252	1364	1373	1069	1402	1212
Proline [MP-1.1]	454	24533	22657	24082	19762	26817	22592	22158	24484	29318	21329	26273	23809	31439	28007	28164	26320	28000	26664	24649	24425
"Proline, trans-4-Hydroxy- (3TMS) [MP-1.1]"	152	1689	1731	1473	1716	1960	1903	1947	1947	1865	2082	2454	2496	1706	1841	2092	1539	1904	1823	1715	2070
Proline_(2TMS)_340374.03_PRED	45990	18480	20624	24304	14539	21773	24375	16260	13741	23038	20235	24747	13863	NaN	16050	23366	18068	17705	17145	19358	11357
"Propane-1,2-diol,_3-amino_(4TMS)_437787.28_TRUE"	1450	1679	846	554	1475	1750	658	1427	1242	1292	1224	451	1233	538	771	402	836	1147	1992	1200	1479
"Propanoic_acid,_2-amino-2-methyl-3-hydroxy-_(2TMS)_295176.81_TRUE"	1571	3065	3075	2995	2985	2824	387	3187	2760	2951	2908	2824	2936	3515	3045	2658	2713	2781	3125	2624	2436
Psicose_(1MEOX)_(5TMS)_MP_579668.94_TRUE	277	450	NaN	404	NaN	145	735	2424	782	191	192	2024	2640	293	NaN	210	261	261	213	182	250
Putrescine_(4TMS)_519185.38_PRED	44	1780	3168	2597	NaN	677	NaN	795	1313	982	813	4813	1478	4727	1851	4275	1777	832	456	403	1283
