putative Compound	hum_101_9 _mus	hum_102_9 _mus	hum_103_9 _mus	hum_104_9 _mus	hum_105_9 _mus	hum_106_9 _mus	hum_120_9 _mus	hum_120_9 _mus	hum_121_9 _mus	hum_141_9 _mus	hum_153_9 _mus	hum_98_9 _mus	Wt_132_9 _mus	Wt_133_9 _mus	Wt_134_9 _mus	Wt_135_9 _mus	Wt_142_9 _mus	Wt_147_9 _mus	Wt_148_9 _mus	Wt_152_9 _mus	Wt_91_9 _mus	Wt_wt9_9 _mus
"Caproic_acid,_6-amino-_(3TMS)_546902.25_TRUE"	565668	517264	465889	396910	541093	637564	525205	82521	547131	592720	573836	675641	357955	385421	486824	256208	386555	921526	348174	623900	546151	395175
Cellobiitol_(9TMS)_870156.12_PRED	711	841	590	509	793	771	838	1879	300	873	1768	954	1031	659	603	219	1374	1532	813	699	559	535
"Cholesterol, D6-"	3599	3316	2412	2451	3653	3164	3545	21444	4165	4190	4621	4365	2119	3038	3354	1465	3363	103	2258	5953	3479	1753
"CinNaNmic_acid,_2-methoxy-,_cis-_(1TMS)_527345_PRED"	3291	746	660	618	668	1198	586	5519	642	1043	773	908	595	744	741	447	626	1064	430	861	859	661
"CinNaNmic_acid,_3-hydroxy-,_cis-_(2TMS)_599148.38_TRUE"	5264	4139	3666	3943	4759	4605	2957	11451	3476	4201	2877	5190	2669	3077	3416	2216	2285	4083	3457	4118	4487	3185
"CinNaNmic_acid,_3-hydroxy-,_trans-_(2TMS)_653564.75_TRUE"	624	1684	683	659	1124	1011	464	125549	859	937	1228	1554	526	267	1194	473	529	1113	876	1265	837	684
"CinNaNmic_acid,_3-methoxy-,_cis-_(1TMS)_587950.5_TRUE"	1558	1354	1237	1190	1665	1384	1568	7223	1645	1844	1936	1957	866	1200	1548	662	1074	2227	900	2268	1527	908
"CinNaNmic_acid,_3-methoxy-,_trans-_(1TMS)_649428.75_TRUE"	4196	10304	4883	4238	6760	6397	3040	788645	4942	6241	6973	9889	3545	1598	7493	3316	3062	6903	6108	7697	4873	4927
"CinNaNmic_acid,_4-methoxy-,_cis-_(1TMS)_617496.56_TRUE"	1112	779	599	415	1131	1256	722	2160	662	1154	807	1842	563	701	436	395	876	813	439	818	642	990
Citrate (4TMS) [MP-1.1]	2770	4069	3302	3057	3100	4628	4156	18611	3819	4872	3201	4829	3347	2160	5545	1542	2694	5438	3027	4003	3097	2344
Cystathionine_(3TMS)_766080.12_TRUE	575	634	851	841	684	1638	1103	NaN	1637	1657	691	817	1070	1606	717	1544	863	541	991	1606	689	1450
"Cysteine,_N-acetyl-_(3TMS)_554708_TRUE"	763	647	620	462	535	860	749	435	676	792	648	730	488	463	590	342	420	1239	463	880	671	554
"Cysteine,_S-methyl-,_DL-_(1TMS)_354018_PRED"	1520	1170	1033	877	1094	1291	869	4614	1119	1235	636	1852	881	842	1031	601	863	1232	716	1198	1176	622
Cysteine_(3TMS)_479326.28_TRUE	1049	782	714	693	901	1280	688	34641	1006	1396	605	1538	536	727	685	531	706	1295	311	1159	968	751
Cytosine_(2TMS)_515287.31_TRUE	878	640	1135	4510	1153	3430	879	3015	950	772	718	749	423	397	5607	571	810	1248	301	1280	1669	454
Dehydroascorbic_acid_(2MEOX)_BP_639171.94_PRED	470	559	499	305	509	578	464	20224	443	748	377	651	428	242	485	353	338	663	417	556	345	372
Diethylenglycol_(2TMS)_306329.94_PRED	2502	1300	1155	923	1282	1557	1148	4853	388	1471	1350	1542	754	1023	933	585	1041	1912	710	470	1068	749
Dihydroxyacetone_phosphate_(1MEOX)_(3TMS)_BP_597751.19_TRUE	1088	952	1076	683	729	1545	857	386	896	1520	628	1118	731	651	730	546	711	1691	578	496	1065	773
"Docosahexaenoic_acid,_4,7,10,13,16,19-(Z,Z,Z,Z,Z,Z)-_(1TMS)_907201.25_TRUE"	2867	3188	3439	2833	2185	4392	3788	386	2505	6397	2465	3280	3798	4735	3089	2594	3370	11641	6935	2607	3213	4650
"Docosane,_n-_771587.31_PRED"	653	663	626	627	717	1925	1123	259	3035	1723	1483	1472	1638	1794	979	1429	1294	1614	1384	1817	832	2314
Dodecane_260776.19_PRED	4526	7439	6064	10856	13137	13354	14191	95838	16085	8138	11123	18486	4097	9394	7123	3698	6838	20713	3481	29000	7892	2673
Dodecanoate (1TMS) [MP-1.1]	830	886	2873	904	3188	3711	800	14256	1432	2717	3137	3731	1980	2100	1798	1387	1907	3800	1731	3216	3444	2100
Eicosanoic_acid_methyl_ester_(FAME_MIX)_818614.44_PRED	519	537	440	474	597	549	554	3653	746	748	642	743	305	459	662	267	393	781	271	956	588	317
"Erythronic_acid-1,4-lactone_(2TMS)_462181.38_TRUE"	1399	1089	690	931	1048	1252	870	30357	951	1079	1624	1487	1058	817	3725	464	619	1133	636	1600	807	690
Ethanolamine [MP-1.1]	37135	78925	54424	1196	42028	2063	41987	256743	2067	106459	97374	104797	42901	1995	31969	1621	64982	121643	41955	134509	67376	27255
Ethanolamine_(3TMS)_321815.91_PRED	262300	183310	159421	75693	202398	105305	126175	516053	131375	215481	121491	302570	135857	151969	38010	81853	123510	250273	101517	220521	139001	142983
FAME C10:0	105385	108225	82985	88250	130906	118369	124716	703858	133105	140271	130475	141731	58502	90195	104248	48401	93350	167855	57649	186342	109189	62818
FAME C12:0	121361	124877	90025	101266	149376	133049	141231	824191	158378	169310	152525	160405	68992	111501	120580	56334	106319	202112	67526	213279	122375	71629
FAME C14:0	156800	146796	112083	118945	171765	165030	169096	927427	188556	201358	187096	191596	84440	127922	145865	69517	120758	229732	86332	247171	147143	84839
FAME C16:0	112078	116939	80160	87282	134368	120812	127517	795405	145773	148332	140871	150398	65016	102411	105686	52812	92923	173092	61881	191843	117176	65671
FAME C18:0	39889	40171	31365	33432	48327	43344	48684	260102	50054	55295	48151	50346	22906	34889	38607	19585	34539	63267	21954	72834	40754	23175
FAME C20:0	39091	40723	30647	31624	48365	45339	46165	268132	49934	55029	48744	51756	22461	35053	38369	19204	33373	59643	22045	69417	40605	22695
FAME C22:0	30336	32743	24073	26366	38710	34998	37000	233217	40949	44285	40863	42192	19106	29055	30237	16260	28110	55500	17741	55100	33895	19321
FAME C24:0	27044	27701	19927	21317	31804	26965	30825	176852	34094	36843	30880	33841	15347	23391	24786	12534	23163	44343	14770	45534	23694	14048
FAME C26:0	21739	19995	14549	15898	23210	20262	23756	140093	25464	29973	24328	25317	11460	18038	18583	9171	20321	35525	11546	34613	19620	11098
FAME C28:0	18982	14944	10596	11637	16375	15071	16432	98496	18563	24558	24033	20388	9190	13347	14199	6724	16904	33389	9642	26172	14621	7606
FAME C30:0	10473	6411	4933	5171	7485	6152	7573	41906	8274	8934	14449	9371	4670	5916	6601	3032	9323	19628	7534	12897	7106	3360
FAME C8:0	64665	70946	54785	57810	90546	80053	88758	496594	97761	93199	90343	98835	38484	61756	71064	33304	61171	122998	36759	139078	74236	40881
FAME C9:0	77707	79058	57321	60810	97230	83738	90655	535232	100547	104869	95368	102678	43288	66679	77338	35932	67500	129601	42081	139474	78709	46814
Fructose (|Psicose) (1MEOX;5TMS) [MP-1.1]	1743	2225	1437	1117	1030	1712	1003	2903	1913	1129	2564	1044	1478	3325	2597	2245	1706	4339	2993	3380	1186	1455
Fructose (|Sorbose) (1MEOX;5TMS) [MP-1.2]	1075	1291	850	603	629	947	487	1886	1265	741	1645	451	928	2012	1537	1326	1191	2743	1802	2038	874	892
Fructose 6-P (1MEOX;6TMS) [MP-1.1]	3013	3010	4551	4062	3537	8064	5724	1129	8861	8964	3327	3957	5520	8468	3737	7839	4807	2863	5592	7399	3089	7604
Fructose 6-P (1MEOX;6TMS) [MP-1.2]	1410	1544	1559	1665	1717	4600	2707	533	8421	4228	3670	3080	4146	4779	2174	3778	2836	3632	3310	4680	1847	6046
